athis      ;root           ; /usr/sbin/console-kit-daemon --no-daemon                              
athis      ;root           ; /usr/sbin/modem-manager                                               
athis      ;root           ; /usr/sbin/sshd                                                        
athis      ;root           ; /usr/sbin/wpa_supplicant -c /etc/wpa_supplicant/wpa_supplicant.conf -B -u
athis      ;root           ; [vmmemctl]                                                            
athis      ;root           ; [watchdog/0]                                                          
athis      ;rpc            ; rpcbind                                                               
athis      ;rpcuser        ; rpc.statd                                                             
athis      ;UID            ; CMD                                                                   
lisses      ;68             ; hald                                                                  
lisses      ;68             ; hald-addon-acpi: listening on acpid socket                            
lisses      ;alozahic       ; /bin/sh -c . /home/alozahic/.profile; /home/alozahic/exploit/systeme/suivi/ABSYSS_CENTOS/SURVEILL
lisses      ;alozahic       ; /bin/sh -c . /home/alozahic/.profile; /home/alozahic/exploit/systeme/suivi/ABSYSS_CENTOS/SURVEILL
lisses      ;alozahic       ; /bin/sh -c . /home/alozahic/.profile; /home/alozahic/exploit/systeme/suivi/ABSYSS_CENTOS/SURVEILL
lisses      ;alozahic       ; /home/alozahic/Linux/centos63/Ver551/sgbd/bin/postgres -D /home/alozahic/Linux/centos63/Ver551/ba  
lisses      ;alozahic       ; /home/alozahic/Linux/centos63/Ver551/vtom/bin/vtlisseser                
lisses      ;alozahic       ; /home/alozahic/Linux/centos63/Ver551/vtom/bin/vtsgbd                  
lisses      ;alozahic       ; -ksh                                                                  
lisses      ;alozahic       ; -ksh                                                                  
lisses      ;alozahic       ; -ksh                                                                  
lisses      ;alozahic       ; ksh -x domi_arn_ctrl_process                                          
lisses      ;alozahic       ; postgres: autovacuum launcher process                                 
lisses      ;alozahic       ; postgres: stats collector process                                     
lisses      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40907) idle                             
lisses      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40908) idle                             
lisses      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40909) idle                             
lisses      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40910) idle                             
lisses      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40911) idle                             
lisses      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40912) idle                             
lisses      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40913) idle                             
lisses      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40914) idle                             
lisses      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40915) idle                             
lisses      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40916) idle                             
lisses      ;alozahic       ; postgres: wal writer process                                          
lisses      ;alozahic       ; postgres: writer process                                              
lisses      ;alozahic       ; ps -ef                                                                
lisses      ;alozahic       ; sed s/lisses/lisses/g                                                   
lisses      ;alozahic       ; sort                                                                  
lisses      ;alozahic       ; sshd: alozahic@pts/0                                                  
lisses      ;alozahic       ; sshd: alozahic@pts/1                                                  
lisses      ;alozahic       ; /usr/sbin/postdrop -r                                                 
lisses      ;alozahic       ; /usr/sbin/postdrop -r                                                 
lisses      ;alozahic       ; /usr/sbin/postdrop -r                                                 
lisses      ;alozahic       ; /usr/sbin/sendmail -FCronDaemon -i -odi -oem                          
lisses      ;alozahic       ; /usr/sbin/sendmail -FCronDaemon -i -odi -oem                          
lisses      ;alozahic       ; /usr/sbin/sendmail -FCronDaemon -i -odi -oem                          
lisses      ;alozahic       ; vtmonitor                                                             
lisses      ;avahi          ; avahi-daemon: chroot helper                                           
lisses      ;avahi          ; avahi-daemon: running [centos63.local]                                
lisses      ;dbus           ; dbus-daemon --system                                                  
lisses      ;ntp            ; ntpd -u ntp:ntp -p /var/run/ntpd.pid                                  
