jobs;mode;heure_debut;heure_fin;type_periodicite;cyclique;cycle;periodicite;mettre_application_en_erreur;ne_pas_deplanifier;attendre_avant_deplanification;heure_deplanification;bloquer_la_date;rattrapage_type;duree_max;retenu;demande;script;parametres;modjobs;liens_amon;liens_aval
ALIM_FACTU/ALIM_FACT/HALT1000;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/vtom/scripts/ko.sh;.;;ALIM_FACTU/ALIM_FACT/OU_1000[obli];

ALIM_FACTU/COMPTEURS/compteur;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/alimfactu/CAF/moteur/scripts/compteur.sh;#NOM?;;;

ALIM_FACTU/ALIM_FACT_GRC/regle_simple;exec;20:00:00;21:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;/opt/alimfactu/CAF/moteur/scripts/regle_simple.sh;#NOM?;;;ALIM_FACTU/ALIM_FACT_GRC/OU_1000[vaer:61-255],ALIM_FACTU/ALIM_FACT_GRC/OU_20[vaob:0],ALIM_FACTU/ALIM_FACT_GRC/Warning_20[vaer:1-60]

ALIM_FACTU/ALIM_FACT_GRC/remboursement;exec;20:00:00;21:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;/opt/alimfactu/CAF/moteur/scripts/remboursement.sh;#NOM?;;ALIM_FACTU/ALIM_FACT_GRC/OU_20[obli];ALIM_FACTU/ALIM_FACT_GRC/OU_21[vaob:0],ALIM_FACTU/ALIM_FACT_GRC/Warning_21[vaer:1-60],ALIM_FACTU/ALIM_FACT_GRC/OU_1000[vaer:61-255]

ALIM_FACTU/ALIM_FACT_GRC/groupage_tarif;exec;20:00:00;21:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;/opt/alimfactu/CAF/moteur/scripts/groupage_tarifaire_remboursement.sh;#NOM?;;ALIM_FACTU/ALIM_FACT_GRC/OU_21[obli];ALIM_FACTU/ALIM_FACT_GRC/OU_22[vaob:0],ALIM_FACTU/ALIM_FACT_GRC/Warning_22[vaer:1-60],ALIM_FACTU/ALIM_FACT_GRC/OU_1000[vaer:61-255]

ALIM_FACTU/ALIM_FACT_GRC/declaratif;exec;20:00:00;21:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;/opt/alimfactu/CAF/moteur/scripts/declaratif.sh;#NOM?;;ALIM_FACTU/ALIM_FACT_GRC/OU_22[obli];ALIM_FACTU/ALIM_FACT_GRC/OU_1000[vaer:61-255],ALIM_FACTU/ALIM_FACT_GRC/OU_23[vaob:0],ALIM_FACTU/ALIM_FACT_GRC/Warning_23[vaer:1-60]

ALIM_FACTU/ALIM_FACT_GRC/compteur;exec;20:00:00;21:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;/opt/alimfactu/CAF/moteur/scripts/compteur.sh;#NOM?;;ALIM_FACTU/ALIM_FACT_GRC/OU_23[facu];ALIM_FACTU/ALIM_FACT_GRC/OU_1000[vaer:61-255]

ALIM_FACTU/ALIM_FACT_GRC/Warning_23;simu;20:00:00;21:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;ALIM_FACTU/ALIM_FACT_GRC/declaratif[vaer:1-60];ALIM_FACTU/ALIM_FACT_GRC/OU_23[obli]

ALIM_FACTU/ALIM_FACT_GRC/OU_23;simu;20:00:00;21:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;ALIM_FACTU/ALIM_FACT_GRC/declaratif[vaob:0],ALIM_FACTU/ALIM_FACT_GRC/Warning_23[obli];ALIM_FACTU/ALIM_FACT_GRC/compteur[facu]

ALIM_FACTU/ALIM_FACT_GRC/Warning_22;simu;20:00:00;21:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;ALIM_FACTU/ALIM_FACT_GRC/groupage_tarif[vaer:1-60];ALIM_FACTU/ALIM_FACT_GRC/OU_22[obli]

